id	filename	md5	size	state
39e4bdbf-4973-437e-a0a0-e88f87b4e669	TCGA-DJ-A3UV-01A-01-TSA.53325505-9877-4826-A809-F5ED2B51D3AA.svs	868f4fb21463ab60a83b16216bc89d38	289827965	validated
39dbb591-7fec-4e83-8efc-511a7d689e19	TCGA-EM-A2P2-01A-01-TS1.603CEA00-70C8-4707-B948-C1009D5F97B0.svs	e4e41c945e8772fe2c3c9112f34f08ec	290295345	validated
3a634aaa-c2b9-41d5-8cbe-a5cec54ae289	TCGA-BJ-A45F-11A-02-TSB.93E8398A-85F1-4123-8F12-BBD3F4ABE548.svs	68a4052c62e67fcaf7b161e3602ff072	65075285	validated
3a6a8015-818c-4b99-b755-774b318ad766	TCGA-BJ-A192-01A-03-TSC.e8b7f6f9-f68e-43f0-becd-05b747cd711f.svs	2421f301cc9d9e2b8d2b7326ca7939ef	320612411	validated
cf3987dd-3e4c-4562-a9df-ef0ac3041b50	TCGA-EM-A1CU-01A-01-TSA.504abd71-2533-4369-9871-505c8f645adb.svs	818c47d22ad9f8dcfed973b09e8406df	189422101	validated
3ac8d2cb-c8e2-411b-9da6-ed6305d68b77	TCGA-EL-A4K4-01A-01-TS1.A7A54BBC-0D95-4487-A660-7C562898E51D.svs	8d3d48770b94357e03d456964319b55c	212277101	validated
3aa172a0-e10c-4c6b-bab2-c0cfe5f7538f	TCGA-EM-A1YC-01A-01-TS1.29c22840-1dda-4973-9e24-e702ae0cf4d2.svs	f93663210136b5a5dc926337a6cbeb77	241473635	validated
d04ce4d9-b093-47b4-9b9a-59bec4a8599f	TCGA-EM-A22P-01A-01-TSA.4221C8D4-F9AE-4619-A1F6-170CA4160226.svs	60688ef3c1194fe2cb0a702676ed40ed	205082381	validated
d0ac2076-cea3-4dce-a497-1c6e92866268	TCGA-EL-A4K9-11A-01-TS1.5EF6F0F5-0ABF-4816-A569-C18F543C0F8F.svs	c98e1c97f6f709c14615c3acacb9d91e	46677411	validated
cfec63a3-18fa-4073-9a84-8163c37ae92a	TCGA-ET-A3DO-01A-01-TSA.C2E71129-31F4-424A-A8FB-CBEC6632A3C7.svs	9b4824bc614fa4f3a053ab6ea732f373	195424893	validated
2914efcb-44dd-493c-acda-309b9f7e8d2e	TCGA-E3-A3DY-01A-01-TSA.9DECCBD8-644C-44B6-9C24-3F3A43660088.svs	a36f46b89b45268c8d51f3a86bbcc82f	349968563	validated
28f6ae82-2358-4809-ae9f-3900907a6722	TCGA-L6-A4EP-01A-01-TS1.173491CC-9323-4D07-8B4E-98DE49A7259F.svs	aa09163a4e0b81c0e8ca2e58735bd391	311746809	validated
298059f3-2227-47e8-a7a1-8368b65f96a7	TCGA-KS-A4IB-01A-01-TS1.D4EB1A1A-CA23-411C-B4EC-C4AB79B6A390.svs	74e66c1e22cb9ff565ba08da0a3ac6ba	170055221	validated
2920bffb-c63e-4aac-9e53-fa17f6fb65d0	TCGA-ET-A3BP-01A-02-TSB.47E894CF-BB8E-4080-8402-A67EDA3A2454.svs	53fa320654fe5d62d9c8903999f99aa4	90837781	validated
2c266932-5299-4ee4-b524-2886c7795f65	TCGA-FY-A4B3-01A-01-TS1.697E080E-BD7B-4D78-A5F4-4A823CDA2787.svs	7a922bc122c0086f97560692fef52f00	121927835	validated
3bc5c9f9-4b04-48fc-80ef-f7969f3a5beb	TCGA-E8-A432-01A-01-TSA.64C69342-C255-435A-BAC6-05745DFFAD8C.svs	3da1fd37bfe65f8b124d418096a7b877	175860329	validated
2cc00ede-e6e9-4c69-ab09-e02d5f9dbc85	TCGA-BJ-A2N8-01A-01-TSA.2BB8B2C4-FA38-4106-995D-4E54EB583AF7.svs	3dd7fda5d6dcb707fb113c550793d5ba	339867811	validated
2c96efe1-c53c-43f4-8c29-17198459e762	TCGA-CE-A483-01A-01-TSA.92A2AEF7-1893-49BF-900F-34A18F7F231F.svs	48731bcb175f2af5ba43526d07501573	95367077	validated
2d7bd2b4-b408-439e-997c-dfd26c78d52d	TCGA-EL-A3N3-11A-01-TS1.CA19411B-9C3E-4B2F-B2DB-C4F946B5421D.svs	f6adcd45d2e745ada5fddb5d0d8f44c0	55812345	validated
2d3399b1-e6cc-47a0-972e-fe2d4211e21b	TCGA-EM-A3FQ-06A-01-TSA.F40471CB-48A6-4D3C-BE36-A7BC71594F3F.svs	855080358957fec1fdfb61569e7a307a	99961451	validated
3be44370-bb31-4c88-a597-81cf9855c8f9	TCGA-DJ-A13S-01A-01-BSA.8407457d-708d-4f1f-a35d-b458f36d0acb.svs	6ed384f07ee5c3dd53c20e89506c5b70	368576941	validated
2dfaafd3-7b89-434e-b154-e7dc68a13feb	TCGA-BJ-A191-01A-01-TSA.4c2558b2-8d33-461d-a615-94c9abe84960.svs	6363a9b76da3395ef1bc496658ee0a3b	255584915	validated
3d0ba211-bf2a-4d92-b188-7ea0b70e17b8	TCGA-EL-A4K6-11A-01-TS1.F67FB30B-42CF-496C-983E-FD9E61227007.svs	2513da95de52876b22820ee7b76d66ff	31195463	validated
3f31fbd5-50e5-4616-b49f-6bb67478b443	TCGA-DJ-A2QC-01A-01-TS1.2A693C85-E9ED-440E-A24F-31C7EDA1E055.svs	62977213155e6e59825bcd20f4362796	289169479	validated
3ebf5b39-e250-4a2b-b2b5-f467ff0879ff	TCGA-EL-A3GY-01A-02-TS2.1966351A-BBD9-4983-8821-F9AC6D7367B3.svs	e505aa2c18732067ccd098141774cae4	114476855	validated
3fedfa67-901a-4c11-9464-32ae7573b928	TCGA-FE-A22Z-01A-01-TS1.1b6260b9-1cda-412e-8281-424a711368c6.svs	15be2b01ceff1c002ab5e9ee19cc929e	221176465	validated
3f3c0187-1532-4a0d-81c7-3b79d7cae476	TCGA-EL-A3ZL-11A-01-TS1.1CC208DE-FE38-4920-93D1-A93326251FFC.svs	ba30c1bd727cd39ae2517a6406cc4163	75569351	validated
408f2a2e-33e6-4e2c-adcd-81ed75ceefd2	TCGA-DJ-A3UR-01A-01-TS1.89274A52-51B2-4D23-BFB6-58EB892875D5.svs	058886121e8a01ee333762ea50459f60	61558463	validated
